frame_idx,timestamp_sec,num_tracked_vehicles,accident_score,is_accident,involved_ids,collisions,tracks_summary
1,0.0,0,0,False,,,
2,0.033,0,0,False,,,
3,0.067,1,0,False,,,"ID:1(motorcycle,spd:0.0)"
4,0.1,2,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:2(motorcycle,spd:0.0)"
5,0.133,2,0,False,,,"ID:1(motorcycle,spd:0.0) | ID:2(motorcycle,spd:5.4)"
6,0.167,2,0,False,,,"ID:1(motorcycle,spd:2.2) | ID:2(motorcycle,spd:10.0)"
7,0.2,2,0,False,,,"ID:1(motorcycle,spd:1.2) | ID:2(motorcycle,spd:10.0)"
8,0.233,2,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:2(motorcycle,spd:10.0)"
9,0.267,3,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:0.0)"
10,0.3,3,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:38.0)"
11,0.333,3,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:12.0)"
12,0.367,3,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:26.1)"
13,0.4,3,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:34.0)"
14,0.433,3,0,False,,,"ID:1(motorcycle,spd:1.8) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:37.5)"
15,0.467,3,0,False,,,"ID:1(motorcycle,spd:0.9) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:25.9)"
16,0.5,3,0,False,,,"ID:1(motorcycle,spd:0.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:50.9)"
17,0.533,4,0,False,,,"ID:1(motorcycle,spd:0.2) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:14.3) | ID:5(car,spd:0.0)"
18,0.567,4,0,False,,,"ID:1(motorcycle,spd:0.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:31.3) | ID:5(car,spd:8.6)"
19,0.6,4,0,False,,,"ID:1(motorcycle,spd:0.4) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:35.0) | ID:5(car,spd:11.6)"
20,0.633,4,0,False,,,"ID:1(motorcycle,spd:1.8) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:37.4) | ID:5(car,spd:17.0)"
21,0.667,4,0,False,,,"ID:1(motorcycle,spd:1.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:29.5) | ID:5(car,spd:13.1)"
22,0.7,4,0,False,,,"ID:1(motorcycle,spd:1.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:43.3) | ID:5(car,spd:13.6)"
23,0.733,4,0,False,,,"ID:1(motorcycle,spd:0.7) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:12.8) | ID:5(car,spd:5.3)"
24,0.767,4,0,False,,,"ID:1(motorcycle,spd:0.4) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:35.5) | ID:5(car,spd:10.4)"
25,0.8,4,0,False,,,"ID:1(motorcycle,spd:0.4) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:37.7) | ID:5(car,spd:13.4)"
26,0.833,4,0,False,,,"ID:1(motorcycle,spd:0.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:13.7)"
27,0.867,4,0,False,,,"ID:1(motorcycle,spd:0.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:11.2)"
28,0.9,4,0,False,,,"ID:1(motorcycle,spd:2.1) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:12.2)"
29,0.933,4,3,True,5;3,3-5(iou:0.18),"ID:1(motorcycle,spd:0.8) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:3.2)"
30,0.967,4,2,False,5;3,3-5(iou:0.29),"ID:1(motorcycle,spd:0.8) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:7.6)"
31,1.0,4,2,False,5;3,3-5(iou:0.51),"ID:1(motorcycle,spd:0.5) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:36.5)"
32,1.033,4,6,False,5;3,3-5(iou:0.49),"ID:1(motorcycle,spd:2.8) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:4.4)"
33,1.067,4,3,False,5;3,3-5(iou:0.45),"ID:1(motorcycle,spd:0.9) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:10.9)"
34,1.1,4,2,False,5;3,3-5(iou:0.35),"ID:1(motorcycle,spd:0.7) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:16.7)"
35,1.133,4,2,False,5;3,3-5(iou:0.26),"ID:1(motorcycle,spd:0.3) | ID:2(motorcycle,spd:10.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:6.1)"
36,1.167,3,2,False,5;3,3-5(iou:0.18),"ID:1(motorcycle,spd:0.6) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:10.5)"
37,1.2,3,0,False,,,"ID:1(motorcycle,spd:0.6) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:13.3)"
38,1.233,3,0,False,,,"ID:1(motorcycle,spd:1.4) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:17.1)"
39,1.267,4,0,False,,,"ID:1(motorcycle,spd:1.0) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:23.1) | ID:10(motorcycle,spd:0.0)"
40,1.3,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:12.5) | ID:10(motorcycle,spd:23.3)"
41,1.333,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:11.8) | ID:10(motorcycle,spd:23.3)"
42,1.367,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:19.6) | ID:10(motorcycle,spd:23.3)"
43,1.4,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:20.0) | ID:10(motorcycle,spd:23.3)"
44,1.433,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:22.6) | ID:10(motorcycle,spd:23.3)"
45,1.467,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:22.3) | ID:10(motorcycle,spd:23.3)"
46,1.5,4,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:32.9) | ID:10(motorcycle,spd:23.3)"
47,1.533,5,2,False,10;13,10-13(iou:0.31),"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:12.0) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:0.0)"
48,1.567,5,4,False,10;13;5,10-13(iou:0.25),"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:5.8) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:23.3)"
49,1.6,5,2,False,10;13,10-13(iou:0.24),"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:12.4) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
50,1.633,5,2,False,10;13,10-13(iou:0.22),"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:16.6) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
51,1.667,5,2,False,10;13,10-13(iou:0.18),"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:17.9) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
52,1.7,5,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:19.7) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
53,1.733,5,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:6.9) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
54,1.767,5,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:14.9) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
55,1.8,5,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:3(motorcycle,spd:30.2) | ID:5(car,spd:13.8) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
56,1.833,4,0,False,,,"ID:1(motorcycle,spd:5.2) | ID:5(car,spd:25.9) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
57,1.867,4,0,False,,,"ID:1(motorcycle,spd:0.8) | ID:5(car,spd:30.5) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
58,1.9,4,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:27.3) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
59,1.933,4,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:10.3) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
60,1.966,4,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:16.7) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
61,2.0,4,0,False,,,"ID:1(motorcycle,spd:0.7) | ID:5(car,spd:20.3) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
62,2.033,4,0,False,,,"ID:1(motorcycle,spd:0.2) | ID:5(car,spd:11.6) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
63,2.066,4,0,False,,,"ID:1(motorcycle,spd:0.4) | ID:5(car,spd:7.7) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
64,2.1,4,0,False,,,"ID:1(motorcycle,spd:1.7) | ID:5(car,spd:10.3) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
65,2.133,4,0,False,,,"ID:1(motorcycle,spd:0.6) | ID:5(car,spd:3.5) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
66,2.166,4,0,False,,,"ID:1(motorcycle,spd:1.2) | ID:5(car,spd:2.0) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
67,2.2,4,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:9.5) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
68,2.233,4,0,False,,,"ID:1(motorcycle,spd:0.7) | ID:5(car,spd:3.8) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
69,2.266,4,0,False,,,"ID:1(motorcycle,spd:0.6) | ID:5(car,spd:1.8) | ID:10(motorcycle,spd:23.3) | ID:13(car,spd:15.6)"
70,2.3,3,0,False,,,"ID:1(motorcycle,spd:0.9) | ID:5(car,spd:3.4) | ID:13(car,spd:15.6)"
71,2.333,3,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:5(car,spd:1.1) | ID:13(car,spd:15.6)"
72,2.366,3,2,False,5,,"ID:1(motorcycle,spd:0.5) | ID:5(car,spd:2.4) | ID:13(car,spd:15.6)"
73,2.4,3,0,False,,,"ID:1(motorcycle,spd:0.5) | ID:5(car,spd:6.5) | ID:13(car,spd:15.6)"
74,2.433,3,0,False,,,"ID:1(motorcycle,spd:0.3) | ID:5(car,spd:6.7) | ID:13(car,spd:15.6)"
75,2.466,3,0,False,,,"ID:1(motorcycle,spd:1.3) | ID:5(car,spd:11.1) | ID:13(car,spd:15.6)"
76,2.5,3,0,False,,,"ID:1(motorcycle,spd:0.6) | ID:5(car,spd:9.0) | ID:13(car,spd:15.6)"
77,2.533,3,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:3.2) | ID:13(car,spd:15.6)"
78,2.566,3,0,False,,,"ID:1(motorcycle,spd:0.4) | ID:5(car,spd:4.7) | ID:13(car,spd:15.6)"
79,2.6,2,0,False,,,"ID:1(motorcycle,spd:2.5) | ID:5(car,spd:5.2)"
80,2.633,2,0,False,,,"ID:1(motorcycle,spd:2.2) | ID:5(car,spd:4.5)"
81,2.666,2,0,False,,,"ID:1(motorcycle,spd:0.8) | ID:5(car,spd:8.0)"
82,2.7,2,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5)"
83,2.733,2,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5)"
84,2.766,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.0) | ID:19(car,spd:0.0)"
85,2.8,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:6.2)"
86,2.833,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.2) | ID:19(car,spd:11.8)"
87,2.866,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:7.3)"
88,2.9,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:9.8)"
89,2.933,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:3.6)"
90,2.966,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.3) | ID:18(car,spd:0.2) | ID:19(car,spd:4.0)"
91,3.0,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.1) | ID:19(car,spd:8.2)"
92,3.033,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.5) | ID:18(car,spd:0.2) | ID:19(car,spd:7.7)"
93,3.066,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.1) | ID:19(car,spd:6.5)"
94,3.1,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.5) | ID:18(car,spd:0.0) | ID:19(car,spd:9.5)"
95,3.133,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.3) | ID:19(car,spd:3.5)"
96,3.166,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:7.5)"
97,3.2,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.9) | ID:19(car,spd:7.1)"
98,3.233,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.4) | ID:19(car,spd:7.5)"
99,3.266,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.4) | ID:18(car,spd:0.1) | ID:19(car,spd:15.8)"
100,3.3,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:7.1)"
101,3.333,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:1.9)"
102,3.366,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:5.6)"
103,3.4,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:13.4)"
104,3.433,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:11.3)"
105,3.466,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:7.1)"
106,3.5,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:6.7)"
107,3.533,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:2.3)"
108,3.566,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:6.4)"
109,3.6,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.2) | ID:19(car,spd:5.4)"
110,3.633,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:11.0)"
111,3.666,5,0,False,,,"ID:1(motorcycle,spd:0.1) | ID:5(car,spd:6.5) | ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.3) | ID:19(car,spd:11.5)"
112,3.7,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:10.7)"
113,3.733,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:3.9)"
114,3.766,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:7.9)"
115,3.8,3,0,False,,,"ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.3) | ID:19(car,spd:10.7)"
116,3.833,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:11.7)"
117,3.866,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:13.8)"
118,3.9,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:11.1)"
119,3.933,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:3.9)"
120,3.966,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.3) | ID:19(car,spd:9.7)"
121,4.0,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:8.0)"
122,4.033,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:12.9)"
123,4.066,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:11.4)"
124,4.1,3,0,False,,,"ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.2) | ID:19(car,spd:12.3)"
125,4.133,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:4.3)"
126,4.166,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:6.3)"
127,4.2,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:11.8)"
128,4.233,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:12.4)"
129,4.266,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:15.0)"
130,4.3,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:11.0)"
131,4.333,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:3.8)"
132,4.366,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:15.5)"
133,4.4,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:19.1)"
134,4.433,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:20.2)"
135,4.466,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:17.5)"
136,4.5,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:17.9)"
137,4.533,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:6.3)"
138,4.566,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:14.7)"
139,4.6,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:11.2)"
140,4.633,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.3) | ID:19(car,spd:10.5)"
141,4.666,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.5) | ID:19(car,spd:10.0)"
142,4.7,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:8.0)"
143,4.733,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:2.7)"
144,4.766,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:6.4)"
145,4.8,3,0,False,,,"ID:17(motorcycle,spd:0.3) | ID:18(car,spd:0.4) | ID:19(car,spd:7.2)"
146,4.833,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:6.9)"
